iter	Passed	Remaining
531	400	352
532	401	351
533	402	533	534	403	534	535	403	349
536	403	348
537	404	347
538	404	346
539	405	345
540	405	344
541	406	343
542	406	342
543	406	543	544	407	544	545	408	545	546	408	546	547	408	547	548	409	548	549	409	549	550	410	550	551	410	551	552	410	552	553	411	553	554	411	554	555	412	555	556	412	556	557	412	327
558	413	326
559	413	325
560	414	324
561	415	323
562	415	562	563	417	563	564	418	321
565	418	320
566	418	319
567	419	318
568	419	317
569	420	316
570	420	315
571	420	315
572	421	314
573	422	313
574	423	312
575	423	312
576	424	311
577	425	310
578	425	309
579	426	308
580	427	308
581	427	307
582	428	306
583	429	306
584	430	305
585	430	304
586	431	303
587	431	302
588	431	301
589	432	300
590	432	299
591	433	298
592	433	297
593	433	296
594	434	295
595	434	294
596	435	293
597	435	292
598	435	291
599	436	290
600	437	290
601	438	289
602	438	288
603	439	287
604	439	286
605	439	286
606	440	285
607	440	284
608	441	283
609	441	282
610	441	281
611	442	280
612	442	612	613	443	278
614	444	278
615	444	277
616	445	276
617	445	275
618	446	274
619	446	273
620	447	272
621	447	271
622	447	270
623	448	270
624	448	269
625	449	268
626	449	267
627	449	266
628	450	265
629	452	265
630	453	264
631	453	264
632	453	263
633	454	262
634	454	261
635	455	260
636	455	259
637	456	258
638	456	257
639	456	256
640	457	256
641	459	255
642	460	255
643	460	254
644	460	253
645	461	252
646	461	251
647	462	251
648	462	250
649	463	249
650	463	248
651	464	247
652	467	248
653	468	247
654	469	247
655	469	246
656	469	245
657	470	244
658	470	243
659	471	242
660	472	242
661	473	241
662	474	241
663	475	240
664	475	239
665	476	238
666	476	238
667	477	237
668	478	236
669	478	235
670	479	235
671	480	234
672	481	233
673	482	233
674	483	232
675	483	231
676	484	230
677	484	230
678	484	229
679	485	228
680	485	227
681	486	226
682	486	225
683	486	224
684	487	224
685	490	224
686	490	223
687	491	223
688	492	222
689	493	221
690	493	220
691	494	220
692	497	220
693	499	220
694	500	219
695	500	218
696	501	218
697	503	217
698	504	217
699	505	216
700	506	216
701	507	215
702	508	214
703	509	214
704	510	213
705	512	213
706	512	212
707	513	211
708	514	210
709	514	210
710	514	209
711	515	208
712	516	207
713	517	207
714	518	206
715	519	206
716	520	205
717	520	204
718	520	203
719	521	202
720	521	201
721	522	201
722	522	200
723	523	199
724	525	199
725	525	198
726	526	197
727	527	196
728	527	196
729	527	195
730	528	194
731	528	193
732	529	192
733	529	191
734	530	191
735	530	190
736	532	189
737	533	189
738	533	188
739	534	187
740	535	187
741	535	186
742	535	185
743	536	184
744	536	183
745	537	182
746	537	182
747	539	181
748	540	181
749	540	180
750	541	179
751	542	178
752	542	178
753	543	177
754	544	176
755	544	175
756	545	175
757	546	174
758	547	173
759	548	173
760	548	172
761	549	171
762	549	170
763	550	170
764	550	169
765	551	168
766	551	167
767	552	166
768	553	166
769	554	165
770	555	164
771	555	164
772	556	163
773	556	162
774	556	161
775	557	160
776	557	160
777	558	159
778	558	158
779	559	157
780	560	157
781	561	156
782	562	155
783	562	155
784	563	154
785	563	153
786	564	152
787	565	152
788	565	151
789	566	150
790	567	149
791	568	149
792	569	148
793	569	147
794	570	147
795	570	146
796	571	145
797	571	144
798	572	143
799	572	143
800	573	142
801	573	141
802	574	140
803	575	140
804	575	139
805	576	138
806	576	137
807	577	137
808	578	136
809	579	135
810	579	135
811	580	134
812	580	133
813	581	132
814	582	814	815	583	131
816	583	130
817	584	130
818	585	129
819	585	128
820	586	127
821	587	127
822	587	822	823	589	823	824	590	824	825	590	825	826	591	826	827	591	827	828	592	828	829	593	829	579	118
830	831	594	831	832	595	832	833	596	833	834	597	834	583	115
835	584	114
836	837	599	837	838	600	838	839	600	839	840	600	840	841	601	841	842	601	842	843	602	843	844	603	844	845	604	845	846	605	846	847	605	847	848	606	848	849	606	849	850	606	850	851	607	851	852	607	852	853	608	853	854	609	854	855	610	855	856	611	856	857	612857	598	99
858	59859	6859	59860	6860	59861	6861	60862	6862	60863	6863	60864	6864	60865	6865	60866	618	94
867	618	94
868	619	93
869	6869	60870	620	91
871	621	91
872	621	90
873	622	89
874	622	88
875	624	88
876	625	87
877	626	87
878	627	86
879	628	85
880	629	85
881	630	84
882	630	83
883	631	82
884	633	82
885	6885	61886	6886	61887	634	80
888	635	79
889	6889	62890	636	77
891	6891	62892	637	76
893	6893	62894	6894	62895	6895	62896	6896	62897	641	72
898	642	72
899	642	71
900	643	70
901	643	69
902	644	69
903	644	68
904	6904	62905	6905	63906	6906	63907	647	65
908	648	64
909	648	64
910	649	63
911	649	62
912	649	61
913	6913	63914	6914	63915	6915	63916	6916	63917	653	58
918	654	57
919	654	56
920	655	56
921	655	55
922	655	54
923	656	53
924	656	53
925	657	52
926	657	51
927	658	51
928	658	50
929	658	49
930	6930	64931	6931	64932	6932	64933	6933	64934	6934	64935	6935	64936	6936	64937	6937	64938	6938	64939	6939	64940	6940	64941	6941	64942	6942	64943	6943	65944	6944	65945	669	38
946	6946	65947	6947	65948	6948	65949	6949	65950	6950	65951	673	33
952	674	33
953	675	32
954	675	31
955	676	31
956	676	30
957	677	29
958	677	28
959	677	28
960	678	27
961	678	26
962	679	26
963	679	25
964	680	24
965	683	24
966	683	23
967	684	22
968	684	21
969	685	21
970	685	20
971	686	19
972	686	19
973	686	18
974	687	17
975	688	16
976	689	16
977	6977	67978	6978	67979	690	14
980	691	13
981	691	12
982	692	11
983	692	11
984	692	10
985	693	9
986	693	9
987	694	8
988	695	7
989	696	7
990	697	6
991	697	5
992	698	4
993	698	4
994	698	3
995	699	2
996	699	2
997	700	1
998	700	0
999	701	0
83	0
