iter	Logloss
0	0.6864441062
1	0.679747019
2	0.6726595554
3	0.6660638049
4	0.658864381
5	0.6529218916
6	0.6460721187
7	0.639759689
8	0.6339514543
9	0.6275836327
10	0.6215887487
11	0.6160310325
12	0.6106075791
13	0.6053207766
14	0.6001668848
15	0.5949492925
16	0.5893950542
17	0.58400488
18	0.5795088507
19	0.5747926911
20	0.5695285005
21	0.5652228114
22	0.5610116592
23	0.5569533189
24	0.5523868658
25	0.548123032
26	0.5444773957
27	0.540797685
28	0.5370849508
29	0.5333769209
30	0.5295617212
31	0.5254848092
32	0.5217767715
33	0.5178926376
34	0.5141315635
35	0.5111028542
36	0.5080823232
37	0.5044975812
38	0.5010037123
39	0.4981933448
40	0.4950800943
41	0.4918076966
42	0.4889979295
43	0.4858543187
44	0.4829495153
45	0.4803102187
46	0.4773171449
47	0.4741330346
48	0.4713220827
49	0.4688900774
50	0.4665022043
51	0.4638614749
52	0.4616919909
53	0.4593363411
54	0.4572664929
55	0.4551389503
56	0.4530654542
57	0.4507237365
58	0.4483269114
59	0.4463056575
60	0.4441766974
61	0.4422624222
62	0.4406754403
63	0.4389619414
64	0.4368490113
65	0.4349186167
66	0.4333278086
67	0.4313906069
68	0.4298067464
69	0.428176777
70	0.4266185203
71	0.4248731951
72	0.4232358107
73	0.4214672529
74	0.4204385864
75	0.4186948979
76	0.4170303949
77	0.4155568898
78	0.4139577043
79	0.4127577169
80	0.411410011
81	0.409976596
82	0.4085305122
83	0.4070005726
84	0.4063669474
85	0.404994426
86	0.4036502235
87	0.4022348664
88	0.4011934395
89	0.400163045
90	0.3987340919
91	0.397917466
92	0.3967964821
93	0.3955089115
94	0.3943012427
95	0.3932257285
96	0.3921191553
97	0.3908554548
98	0.3895712568
99	0.3886167584
100	0.3875866061
101	0.3865953512
102	0.3856545608
103	0.3847339454
104	0.3835290684
105	0.3825422173
106	0.3816667856
107	0.3808164333
108	0.3800340309
109	0.3791336572
110	0.3782158928
111	0.3774609754
112	0.3767575181
113	0.3760550708
114	0.3753792506
115	0.3743694393
116	0.3738010032
117	0.3731531057
118	0.3724269057
119	0.3712678801
120	0.370700845
121	0.3699050905
122	0.3691122164
123	0.3685373121
124	0.3678321314
125	0.3672855987
126	0.366599374
127	0.3658878197
128	0.3650191608
129	0.364240399
130	0.3635822274
131	0.3629033335
132	0.3628069307
133	0.3622145489
134	0.3616490187
135	0.3609762773
136	0.3601082584
137	0.3595064515
138	0.3590446408
139	0.358360273
140	0.3578707646
141	0.3571736948
142	0.3566357274
143	0.3561863292
144	0.3556015809
145	0.3549718041
146	0.3543669207
147	0.3539679003
148	0.3535264262
149	0.3529125705
150	0.3524914403
151	0.3519307813
152	0.3515773322
153	0.3510993775
154	0.3506537525
155	0.3501558966
156	0.3498855394
157	0.349317393
158	0.3488605513
159	0.3484026496
160	0.3480408274
161	0.347522481
162	0.3471018008
163	0.3467074102
164	0.3461700134
165	0.3456736584
166	0.3452451279
167	0.3448364696
168	0.3444037686
169	0.3441194745
170	0.3436043668
171	0.3432416655
172	0.3429157617
173	0.3424393589
174	0.3419883915
175	0.3415719579
176	0.3410552175
177	0.3407196462
178	0.3404834958
179	0.3399908734
180	0.3394839589
181	0.3390109382
182	0.3384892258
183	0.3380441043
184	0.3376752782
185	0.3373201806
186	0.3371967826
187	0.3369483288
188	0.3364590598
189	0.3361902317
190	0.3358493083
191	0.3354652255
192	0.3350834824
193	0.3347356955
194	0.3343419399
195	0.3339142306
196	0.3337217165
197	0.3333514021
198	0.3330304321
199	0.3328713343
200	0.3324529745
201	0.3321294919
202	0.3316655571
203	0.3313914939
204	0.3310814989
205	0.3309731128
206	0.3307037962
207	0.3304916357
208	0.3302047786
209	0.329973475
210	0.3298337181
211	0.3295469778
212	0.3292314294
213	0.3287814491
214	0.3285735804
215	0.3282351531
216	0.3278522057
217	0.3274470122
218	0.3272200398
219	0.3269635896
220	0.3266141232
221	0.3262925511
222	0.3260154648
223	0.3257468408
224	0.3254488536
225	0.3251511223
226	0.3247539563
227	0.3245041015
228	0.324228209
229	0.323946752
230	0.3236089342
231	0.3233906576
232	0.3230615558
233	0.3228145591
234	0.3225446158
235	0.3222925125
236	0.3219823937
237	0.3217071359
238	0.3214477873
239	0.3211212877
240	0.3208465536
241	0.3206157806
242	0.3202965168
243	0.3200081783
244	0.3198658695
245	0.3195584548
246	0.3192592417
247	0.3191401914
248	0.3188030678
249	0.3186427403
250	0.318594974
251	0.3184196454
252	0.3182906664
253	0.3180363272
254	0.3178058934
255	0.3175403707
256	0.3173684286
257	0.317095282
258	0.3168873877
259	0.316669397
260	0.3165088255
261	0.3163439255
262	0.3160266091
263	0.3157499617
264	0.3155392557
265	0.3153465494
266	0.315111402
267	0.3149025648
268	0.3148093365
269	0.3144720317
270	0.3143368419
271	0.3141600166
272	0.313957276
273	0.3137387371
274	0.3134217096
275	0.3131348219
276	0.3128746555
277	0.3127505402
278	0.312620185
279	0.3123978998
280	0.3121697318
281	0.3119458417
282	0.3114145351
283	0.31111591
284	0.3109638226
285	0.3107632046
286	0.3105519591
287	0.3103194794
288	0.3101995167
289	0.3100607129
290	0.3099810287
291	0.309840535
292	0.30972342
293	0.3095435166
294	0.3093571718
295	0.3091870526
296	0.3090574336
297	0.3088878864
298	0.3086467923
299	0.3084707669
300	0.3082836731
301	0.3081277479
302	0.3079381174
303	0.3077342933
304	0.3074610045
305	0.3073962268
306	0.3071330174
307	0.3069850801
308	0.3068169849
309	0.306661583
310	0.3063670908
311	0.3063119509
312	0.3061357928
313	0.3059015891
314	0.3056851294
315	0.3055199579
316	0.3053927331
317	0.3052850833
318	0.3050158396
319	0.3048261958
320	0.3045307467
321	0.3043508269
322	0.304263685
323	0.3041242268
324	0.3039181972
325	0.3037158229
326	0.3035018403
327	0.303338328	0328	0.303151329	0329	0.303062330	0330	0.302887331	0331	0.302711332	0.3064355437
333	0.3062901449
334	0.3061740414
335	0.3060297167
336	0.3059003332
337	0.3057165041
338	0.3055370361
339	0.3053723929
340	0.3052658051
341	0.3051491331
342	0.3049545852
343	0.3048030625
344	0.3046550813
345	0.3045879839
346	0.3044074948
347	0.3042876838
348	0.3040762157
349	0349	0.299968350	0.3037474524
351	0.3035922833
352	0.3034519731
353	0.3033065701
